Owner        Size       Last_Modify_Time Name                                              
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.26                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.27                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.28                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.29                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.3                              
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.30                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.31                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.32                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.33                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.34                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.35                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.36                             
informix       976.56M  Sep 03  01:21    /ach_dat1/ach_dat1.37                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.38                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.39                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.4                              
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.40                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.41                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.42                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.43                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.44                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.45                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.46                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.47                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.48                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.49                             
informix       976.56M  Sep 03  01:04    /ach_dat1/ach_dat1.5                              
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.50                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.51                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.52                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.53                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.54                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.55                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.56                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.57                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.58                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.59                             
informix       976.56M  Oct 01  01:12    /ach_dat1/ach_dat1.6                              
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.60                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.61                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.62                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.63                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.64                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.65                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.66                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.67                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.68                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.69                             
informix       976.56M  Oct 01  01:12    /ach_dat1/ach_dat1.7                              
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.70                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.71                             
informix       976.56M  Apr 03  2016     /ach_dat1/ach_dat1.72                             
informix       976.56M  Feb 07  2016     /ach_dat1/ach_dat1.73                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.74                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.75                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.76                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.77                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.78                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.79                             
informix       976.56M  Oct 01  01:29    /ach_dat1/ach_dat1.8                              
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.80                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.81                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.82                             
informix       976.56M  Oct 01  01:19    /ach_dat1/ach_dat1.9                              
